truck,ID,GroupCount,mean_engine_power,mean_fuel_rate,mean_v,mean_mass_eff,mean_ego_m,mean_engine_rpm,mean_drag_reduction_ratio,mean_P_AD,mean_E_AD,mean_E_AD_true,mean_P_AD_true,std_v,mean_NPC,mean_NFC
L,9252,1198,208068.391446578,0.013957546577323,30.9084916736227,17355.2744616186,17000,1560.78434536035,1,12244.2737120773,2.53982646376237,1.22763172941538,5918.30155605433,0.355353858073403,1.03091130069438,1.03462424208184
L,9253,1159,224445.849743322,0.0150873577826661,31.9540227040552,17355.2744616186,17000,1613.81950881553,1,12828.691555582,2.6610521027616,1.06401871236557,5129.53799594516,0.40425576036935,1.024786539029,1.02206716523679
L,9254,1853,83509.9029156454,0.00588460499915035,19.9701619260658,19401.6266592213,19000,1480.28784532636,1,7735.14655480592,1.43526767556195,1.13758797661994,6130.84922622194,0.139504326018242,1.07721847815905,1.10396816962162
L,9255,1756,92629.2902714465,0.0065302866533098,21.0777574128702,19401.6266592212,19000,1562.54241959834,1,7538.03950825558,1.39869417685255,1.12145408949007,6043.89821103981,0.152592750127469,1.06888560361074,1.08325420206434
L,9256,1669,102658.502889195,0.00724655105084188,22.1818050605153,19401.6266592212,19000,1644.55887942848,1,8472.78135646747,1.57213688414037,1.13541976876965,6119.16401532447,0.166274568361953,1.06169735223268,1.07495723524529
L,9257,1589,113608.238601127,0.00802866508998678,23.2845980314663,19401.6266592212,19000,1726.50923226959,1,9027.60563764459,1.67508533518111,1.16828800823263,6296.30215727078,0.184248301546872,1.05717724134445,1.07307941603376
L,9258,1519,126019.686283615,0.00841522054672758,24.3798003396972,19355.2744616186,19000,1229.8782968056,1,10245.4713088174,1.90561476071459,1.33656059009455,7185.97140440642,0.215426279936275,1.05851003081836,1.06941054049474
L,9259,1453,139013.767362625,0.009281703677442,25.4788114150034,19355.2744616186,19000,1285.47675482499,1,11686.4064938461,2.17362267123995,1.41977719223857,7633.38256392328,0.232435704841597,1.05585563243531,1.0692483699233
L,9260,1394,153024.860670811,0.0102047917903314,26.5696516506456,19355.2744616186,19000,1340.68657254935,1,10541.7964518499,1.96072999646247,1.522648173239,8186.46480597868,0.259107876309095,1.05491350232998,1.068783561085
L,9261,1339,167666.517639862,0.0111677490230054,27.6542773749066,19355.2744616186,19000,1395.59746335273,1,11109.8034413483,2.06637691799018,1.58946830427717,8545.72091036894,0.29101935409358,1.05159747522007,1.06534012125901
L,9262,1288,182930.399699911,0.0121916898490237,28.7307812981366,19355.2744616186,19000,1450.12344718613,1,16412.6176713457,3.05267815933122,1.61098517361907,8661.4056080543,0.327627314576538,1.04998389686716,1.0608254631041
L,9263,1242,198662.401202487,0.0132593343524879,29.7977494057971,19355.2744616186,19000,1504.18469568733,1,17317.800701443,3.22103841249177,1.58176184824353,8504.28741824189,0.363423820536412,1.04661653173743,1.05359795957071
L,9264,1200,214461.241406247,0.0143446557373033,30.85429941,19355.2744616186,19000,1557.72583681659,1,15369.0733092641,2.85858327780714,1.45916501634769,7845.14982672273,0.403540970972576,1.04109137162172,1.04202414367226
L,9265,1160,229755.552363183,0.0154044714133969,31.9016943568965,19355.2744616186,19000,1610.8138049552,1,13498.9699474364,2.51075188353113,1.08124311254037,5813.26588970938,0.458624482857246,1.02544422476818,1.02387204168433
L,9266,1854,88888.897144924,0.0062210415778315,19.9642150021575,21401.6266592213,21000,1479.76675081857,1,9532.43667466334,1.6034655951725,1.31900469292913,7841.34611106394,0.151107318056613,1.09544173655727,1.12175008248911
L,9267,1757,98424.8487940074,0.00689488555463387,21.0722560671599,21401.6266592213,21000,1562.03725485464,1,9631.00210916513,1.6200454360349,1.34347792841009,7986.83695798244,0.1641028333147,1.08691996297783,1.10208874377865
