gps_time,time,v,mass_eff,engine_power,grade_estimate
1.2449e+09 sec,892.098949193954,28.9494322867538,30822.6692211084,105279.427817867,0.0547166458059379
1.2449e+09 sec,892.19896030426,28.9724537123817,30822.6692211084,105356.829212563,0.0630444190697525
1.2449e+09 sec,892.299158334732,28.9678671677804,30822.6692211084,105881.983995239,0.0134701389681493
1.2449e+09 sec,892.632687330246,28.9756944444444,30822.6692211084,106902.553639778,0.0707356561472148
1.2449e+09 sec,892.658993244171,28.9756944444444,30822.6692211084,106488.056660784,-0.0294995424576528
1.2449e+09 sec,892.684862375259,28.9761191772987,30822.6692211084,105123.90517224,-0.0503447415909699
1.2449e+09 sec,892.71106338501,28.9772598424262,30822.6692211084,106008.296275563,-0.010475891071807
1.2449e+09 sec,892.799627304077,28.9864565127036,30822.6692211084,109674.915606838,-0.0172562277988096
1.2449e+09 sec,892.9739112854,28.988858234168,30822.6692211084,106560.415019997,0.0482199179283643
1.2449e+09 sec,893.000563383102,28.9842329187452,30822.6692211084,105903.888687088,0.00993418076185607
1.2449e+09 sec,893.099711179733,28.9691678897668,30822.6692211084,106414.400818134,-0.0591434875417835
1.2449e+09 sec,893.199635267258,28.9538781373362,30822.6692211084,97558.0670033419,0.0203118958185483
1.2449e+09 sec,893.298776388168,28.9228926486866,30822.6692211084,95005.1134424372,0.0702698000136172
1.2449e+09 sec,893.450169324875,28.9227981304693,30822.6692211084,98455.136589958,0.0811440312850827
1.2449e+09 sec,893.492066383362,28.928734874677,30822.6692211084,98524.0481358161,0.0252203586575515
1.2449e+09 sec,893.598884344101,28.9407766052241,30822.6692211084,101021.683216752,0.0322981113485822
1.2449e+09 sec,893.698734283447,28.9649388522615,30822.6692211084,101744.419260441,0.102967441193768
1.2449e+09 sec,893.798918247223,28.9561914483105,30822.6692211084,100150.264249479,0.0150315210958841
1.2449e+09 sec,893.981761217117,28.9667516960236,30822.6692211084,103681.913888931,-0.0859506315890156
1.2449e+09 sec,894.031054258347,28.9599080683384,30822.6692211084,103009.382531793,-0.0478635516388051
1.2449e+09 sec,894.098746299744,28.9593110076884,30822.6692211084,104941.153245922,-0.0887518611772448
1.2449e+09 sec,894.198941230774,28.9807197104439,30822.6692211084,101224.196389634,0.031072144563875
1.2449e+09 sec,894.298750400543,28.9963565879909,30822.6692211084,102429.362168787,0.116925259740963
1.2449e+09 sec,894.449823379517,29.0028714080751,30822.6692211084,106726.591946125,0.105155481073976
1.2449e+09 sec,894.492460250854,28.9950536794786,30822.6692211084,108847.895902638,0.0344307964908841
1.2449e+09 sec,894.59884428978,28.9442212998405,30822.6692211084,105897.918637932,-0.175902315305563
1.2449e+09 sec,894.699282169342,28.9453624777207,30822.6692211084,108273.231598944,-0.172707096996805
1.2449e+09 sec,894.799286365509,28.95100814766,30822.6692211084,111677.700442796,0.0205377166915086
1.2449e+09 sec,894.982251167297,28.9178975974104,30822.6692211084,114473.323312052,0.0509476844391844
1.2449e+09 sec,895.032073259354,28.909197244575,30822.6692211084,108826.590453685,-0.00342989896457221
1.2449e+09 sec,895.098998308182,28.9008290019841,30822.6692211084,108397.864916146,-0.166057604984245
1.2449e+09 sec,895.198718309402,28.9006945298327,30822.6692211084,112259.315872354,-0.259138484011165
1.2449e+09 sec,895.299263238907,28.9116792945655,30822.6692211084,113597.265858258,-0.270688021008069
1.2449e+09 sec,895.450052261353,28.9378771173787,30822.6692211084,108053.157326315,-0.256752798050417
1.2449e+09 sec,895.492111206055,28.9514627671432,30822.6692211084,108239.066632086,-0.240044780231074
1.2449e+09 sec,895.600907325745,28.9745063600153,30822.6692211084,102710.580713066,-0.0936121023342304
1.2449e+09 sec,895.699611186981,28.9612426605695,30822.6692211084,103382.019658488,0.0738036532690855
1.2449e+09 sec,895.798813343048,28.9764611400951,30822.6692211084,101913.964795074,0.00240490162598455
1.2449e+09 sec,895.974031209946,29.0231686223348,30822.6692211084,97426.7953317528,-0.0640431738196427
1.2449e+09 sec,896.000774383545,29.0234375,30822.6692211084,95622.0041448456,-0.0807818721611745
1.2449e+09 sec,896.099612236023,29.0168031110521,30822.6692211084,96922.9235914059,-8.26981367543136e-05
1.2449e+09 sec,896.199613332748,28.9867638745889,30822.6692211084,97861.4620209729,0.0540737378292952
1.2449e+09 sec,896.299007177353,28.9731345169798,30822.6692211084,98153.1568047743,0.074986255014161
1.2449e+09 sec,896.448585271835,28.9993713251154,30822.6692211084,100818.198702109,0.156228508069473
1.2449e+09 sec,896.539870262146,28.9821143594075,30822.6692211084,103428.142466683,0.197153459954638
1.2449e+09 sec,896.598850250244,28.9692794029824,30822.6692211084,104950.404529816,0.182578400382088
1.2449e+09 sec,896.698754310608,28.9492531521159,30822.6692211084,102931.546185456,-0.0110570593239477
1.2449e+09 sec,896.798780202866,28.90625,30822.6692211084,103790.866484828,-0.253322978111081
1.2449e+09 sec,896.981988191605,28.9085147368056,30822.6692211084,104729.357491443,-0.256061842315443
1.2449e+09 sec,897.032048225403,28.9259752638251,30822.6692211084,103675.361518475,-0.191450007863119
1.2449e+09 sec,897.099551200867,28.9473928287299,30822.6692211084,106354.582398267,-0.0609615772769997
1.2449e+09 sec,897.199683189392,28.970272197809,30822.6692211084,108827.661592657,0.0605598280627392
1.2449e+09 sec,897.299582242966,28.9747259964167,30822.6692211084,106040.427709911,0.0274894067840589
1.2449e+09 sec,897.449711322784,28.9518057433189,30822.6692211084,106490.021486977,-0.0741988979320258
1.2449e+09 sec,897.492258310318,28.9542780878883,30822.6692211084,109807.684963199,-0.187275967522953
1.2449e+09 sec,897.599677324295,28.9800740276051,30822.6692211084,112828.632768692,-0.189380188760245
1.2449e+09 sec,897.698944330215,28.9867289652159,30822.6692211084,111100.626092664,-0.0727852288266559
1.2449e+09 sec,897.799087285995,28.9670138888889,30822.6692211084,107082.811895968,-0.0725228126342859
1.2449e+09 sec,897.981932401657,28.9567516866717,30822.6692211084,105438.223564343,0.0739356874829631
1.2449e+09 sec,898.031672239304,28.9441723167227,30822.6692211084,107670.680808346,0.0124819851036333
1.2449e+09 sec,898.099436283112,28.9341637934683,30822.6692211084,115992.535673378,0.0364182424936475
1.2449e+09 sec,898.199276208878,28.9388472133613,30822.6692211084,117210.72487901,-0.0521845239629092
1.2449e+09 sec,898.298732280731,28.9333508457938,30822.6692211084,110958.384858872,-0.192447766386718
1.2449e+09 sec,898.449657201767,28.930160827859,30822.6692211084,111218.193436718,-0.268283545642504
1.2449e+09 sec,898.492778301239,28.9302001108429,30822.6692211084,115188.791835813,-0.0459521381817135
1.2449e+09 sec,898.59965634346,28.9439171951694,30822.6692211084,108797.248909717,-0.033806101434015
1.2449e+09 sec,898.698850393295,28.9569558207287,30822.6692211084,108179.427835632,-0.0512393033467085
1.2449e+09 sec,898.798710346222,28.975403919012,30822.6692211084,114728.444351622,0.0141036631193613
1.2449e+09 sec,898.981921195984,28.9858465349515,30822.6692211084,112658.336226118,-0.00613825497678607
1.2449e+09 sec,899.031876325607,28.9665564490026,30822.6692211084,111549.522404498,-0.109831770977987
1.2449e+09 sec,899.099282264709,28.9506901619834,30822.6692211084,103056.095942524,-0.117670899223502
1.2449e+09 sec,899.199458360672,28.9615616247666,30822.6692211084,103455.174672801,-0.261883027436126
1.2449e+09 sec,899.299460172653,28.9919564914713,30822.6692211084,104691.999075845,-0.186572086842672
1.2449e+09 sec,899.450059175491,29.0180416693898,30822.6692211084,112374.003132477,0.107843252036429
1.2449e+09 sec,899.492837190628,29.0167078859941,30822.6692211084,111237.157293556,0.0939937083629456
1.2449e+09 sec,899.599696397781,28.9934008574253,30822.6692211084,102888.132097133,-0.0931933285957294
1.2449e+09 sec,899.699545383453,28.9393027197146,30822.6692211084,105198.45433019,-0.147285422430778
1.2449e+09 sec,899.799586296082,28.8899698609595,30822.6692211084,103538.858494936,-0.156973091874176
1.2449e+09 sec,899.981642246246,28.9474438538261,30822.6692211084,97704.9662964877,-0.213402639331655
1.2449e+09 sec,900.031323194504,28.9626089537446,30822.6692211084,99685.6884035026,-0.114512093344616
1.2449e+09 sec,900.099514245987,28.983353569104,30822.6692211084,103941.567637856,0.159561642130393
1.2449e+09 sec,900.199722290039,28.9973211579053,30822.6692211084,108434.62412218,0.488851942082057
1.2449e+09 sec,900.29943728447,28.9658906717184,30822.6692211084,113352.255477912,0.316843688506171
1.2449e+09 sec,900.45076918602,28.9596129142518,30822.6692211084,113086.501692992,0.0826918914401929
1.2449e+09 sec,900.492670297623,28.9762703078341,30822.6692211084,116280.854121605,-0.0300062727957733
1.2449e+09 sec,900.599136352539,29.0374817214683,30822.6692211084,120530.055880911,0.0800087175533416
1.2449e+09 sec,900.699480295181,29.0343808411555,30822.6692211084,124859.70478527,0.00240289308473776
1.2449e+09 sec,900.799441337585,29.0009322486566,30822.6692211084,129453.944884934,-0.252959588450531
1.2449e+09 sec,900.981396198273,28.9089885857762,30822.6692211084,118972.338187937,-0.670318386334237
1.2449e+09 sec,901.031510353088,28.8965250122323,30822.6692211084,119318.14740727,-0.549150011492822
1.2449e+09 sec,901.098856210709,28.8915607454636,30822.6692211084,118206.404897527,-0.341011331546074
1.2449e+09 sec,901.198765277863,28.9224168261442,30822.6692211084,116008.615662629,0.152144895022731
1.2449e+09 sec,901.299043178558,28.9473281259076,30822.6692211084,115027.407828171,0.32652454257792
1.2449e+09 sec,901.450883388519,28.99970875595,30822.6692211084,116001.697653551,0.332725012184468
1.2449e+09 sec,901.496437311172,28.9853484473566,30822.6692211084,118689.095008969,0.0493901778747002
